id,prd,prc,bgn,min,max,cnt,cum,code,traded_at,created_at,updated_at
747509,1,1805,1815,1780,1815,4902,29358,001020,"2021-10-12 10:23:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747508,1,1805,1805,1805,1805,0,29358,001020,"2021-10-12 10:24:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747507,1,1805,1805,1805,1805,0,29358,001020,"2021-10-12 10:25:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747506,1,1805,1800,1800,1805,715,30073,001020,"2021-10-12 10:26:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747505,1,1800,1800,1800,1800,1292,31365,001020,"2021-10-12 10:27:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747504,1,1800,1800,1800,1800,0,31365,001020,"2021-10-12 10:28:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747503,1,1800,1800,1800,1800,0,31365,001020,"2021-10-12 10:29:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747502,1,1800,1800,1800,1800,0,31365,001020,"2021-10-12 10:30:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747501,1,1805,1805,1805,1805,1,31366,001020,"2021-10-12 10:31:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747500,1,1805,1805,1805,1805,0,31366,001020,"2021-10-12 10:32:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747499,1,1805,1805,1805,1805,0,31366,001020,"2021-10-12 10:33:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747498,1,1790,1790,1790,1790,65,31431,001020,"2021-10-12 10:34:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747497,1,1790,1790,1790,1790,0,31431,001020,"2021-10-12 10:35:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747496,1,1795,1795,1795,1795,5,31436,001020,"2021-10-12 10:36:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747495,1,1800,1800,1800,1800,1,31437,001020,"2021-10-12 10:37:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747494,1,1805,1800,1800,1805,15,31452,001020,"2021-10-12 10:38:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747493,1,1815,1805,1805,1815,294,31746,001020,"2021-10-12 10:39:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747492,1,1815,1815,1815,1815,0,31746,001020,"2021-10-12 10:40:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747491,1,1805,1805,1805,1805,1,31747,001020,"2021-10-12 10:41:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747490,1,1815,1815,1815,1815,1,31748,001020,"2021-10-12 10:42:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747489,1,1815,1815,1815,1815,0,31748,001020,"2021-10-12 10:43:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747488,1,1800,1800,1800,1800,4001,35749,001020,"2021-10-12 10:44:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747487,1,1810,1810,1810,1810,1,35750,001020,"2021-10-12 10:45:00","2022-11-10 04:59:55","2022-11-10 04:59:55"
747486,1,1800,1800,1800,1800,600,36350,001020,"2021-10-12 10:46:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747485,1,1800,1800,1800,1800,0,36350,001020,"2021-10-12 10:47:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747484,1,1800,1800,1800,1800,0,36350,001020,"2021-10-12 10:48:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747483,1,1800,1800,1800,1800,50,36400,001020,"2021-10-12 10:49:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747482,1,1800,1800,1800,1800,0,36400,001020,"2021-10-12 10:50:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
747481,1,1810,1800,1800,1810,358,36758,001020,"2021-10-12 10:51:00","2022-11-10 04:59:54","2022-11-10 04:59:54"
